ship_id,ship_name,ship_type_id,ship_type_name,datetime,lat,lon,port_reported,super_unique_id,haversine_dist,obs,tot,id_check
349945,LOTSMAN SARZHIN,3,Tug,2016-12-20T10:45:03Z,54.63261,19.90459,kalingrad,"349945,LOTSMAN SARZHIN,3,Tug",0,1553,36359.2135598248,"349945,LOTSMAN SARZHIN,3,Tugyes"
349945,LOTSMAN SARZHIN,3,Tug,2016-12-20T10:59:03Z,54.65726,19.83738,kalingrad,"349945,LOTSMAN SARZHIN,3,Tug",5125.64788290996,1554,36359.2135598248,"349945,LOTSMAN SARZHIN,3,Tugyes"
349963,SAMUR-3,7,Cargo,2016-12-18T15:15:03Z,54.6333,19.89325,kalingrad,"349963,SAMUR-3,7,Cargo",0,215,84987.9249514137,"349963,SAMUR-3,7,Cargoyes"
349963,SAMUR-3,7,Cargo,2016-12-18T15:17:03Z,54.96338,20.31154,kalingrad,"349963,SAMUR-3,7,Cargo",45504.0996991743,216,84987.9249514137,"349963,SAMUR-3,7,Cargoyes"
349997,YASNYY,3,Tug,2016-12-16T20:47:02Z,54.65298,20.10669,kalingrad,"349997,YASNYY,3,Tug",0,68,47352.4731184203,"349997,YASNYY,3,Tugyes"
349997,YASNYY,3,Tug,2016-12-16T20:49:03Z,54.63329,19.89341,kalingrad,"349997,YASNYY,3,Tug",13912.5887211338,69,47352.4731184203,"349997,YASNYY,3,Tugyes"
350212,BRATYA STOYANOVY,2,Fishing,2016-12-16T01:51:03Z,54.7051,20.48718,kalingrad,"350212,BRATYA STOYANOVY,2,Fishing",8.4298974944936,233,1274.18635414996,"350212,BRATYA STOYANOVY,2,Fishingyes"
350212,BRATYA STOYANOVY,2,Fishing,2016-12-16T02:43:03Z,54.70523,20.48743,kalingrad,"350212,BRATYA STOYANOVY,2,Fishing",21.63286032673,234,1274.18635414996,"350212,BRATYA STOYANOVY,2,Fishingyes"
350301,REUSHINKA,3,Tug,2016-12-19T04:49:02Z,54.6376,19.9564,kalingrad,"350301,REUSHINKA,3,Tug",0,1432,113924.594064165,"350301,REUSHINKA,3,Tugyes"
350301,REUSHINKA,3,Tug,2016-12-19T06:39:03Z,54.6342,19.90677,kalingrad,"350301,REUSHINKA,3,Tug",3219.90440103254,1433,113924.594064165,"350301,REUSHINKA,3,Tugyes"
350501,ZORKIY,3,Tug,2016-12-18T01:19:02Z,54.64502,19.8725,kalingrad,"350501,ZORKIY,3,Tug",0,37,42702.7236528345,"350501,ZORKIY,3,Tugyes"
350501,ZORKIY,3,Tug,2016-12-18T01:21:03Z,54.64273,20.03715,kalingrad,"350501,ZORKIY,3,Tug",10609.1190776421,38,42702.7236528345,"350501,ZORKIY,3,Tugyes"
